pietro,izby,powierzchnia,zadrzewienie,autostrada,przemysł,centrum,jezioro,lasy,tramwaj,policja,szkola,cena,zainter
2,3,53.49,10.84,4050.802,70.71068,2924.355,3034.246,1552.047,85.14693,1107,160.0781,2333.15,TRUE
1,2,60.8,1.92,12062.71,706.1339,5973.349,4779.051,155,470.2393,981.644,715.2797,5509.87,FALSE
0,2,55.3,1.04,5335.583,222.7667,2793,462.3851,476.7075,226.2742,398.5285,791.1542,8589.51,FALSE
1,2,37.2,0.48,4044.90112,120.10412,5637.41504,1125.71094,901.47101,109.65856,2299.35327,657.30511,5645.16,FALSE
2,3,38,19.96,8392.401,92.19544,2879.592,1419.903,1316.757,175,1832.901,329.0137,4842.11,FALSE
3,5,94.83,0.8,12845.08,81.3941,6661.181,4728.345,33.54102,1255.518,1685.764,1485.345,6954.02,FALSE
5,4,62.7,3.76,11688.48,817.0833,5750.941,4184.047,688.8396,145,745,209.8809,4704.94,TRUE
3,3,56.68,9.68,4991.242,431.8854,2453.263,2702.601,2342.136,464.0043,645,91.92388,4040.23,TRUE
2,4,71.42,22.52,5230.26758,348.60437,2326.20947,2486.00073,2110.69897,301.86917,552.31329,322.37399,4340.52,FALSE
5,3,48.1,1.08,11309.66,289.3527,5526.294,3665.849,1095.502,637.8872,1041.393,227.2664,6860.71,FALSE
0,1,28.61,0.04,4198.8,100.4988,11353.16,3087.479,85.14693,6933.866,7446.409,1019.031,4496.5,TRUE
4,3,56.21,20.56,2149.517,91.24144,4114.517,2771.507,403.1129,481.2744,1773.711,311.8493,3380.18,TRUE
3,5,73.1,14.48,10836.8,429.2144,4734.66,3846.979,562.0721,340,1878.829,450,4172.37,FALSE
2,2,52.4,0.52,8709.227,144.222,2847.077,2305.439,832.301,513.0789,753.077,543.7371,7041.98,FALSE
4,1,32.2,0.28,6375.033,43.01163,2301.098,1393.718,965.9451,246.9818,591.0372,355.1408,6521.74,TRUE
1,2,35.4,19.96,4371.54736,170.88008,2802.12866,3153.4624,1833.28259,93.94147,802.76086,470,6214.69,FALSE
5,3,48.8,1.64,3063.634,43.01163,3978.897,2722.738,207.9663,134.3503,2356.884,186.8154,4713.11,FALSE
2,5,75.9,3.72,5122.688,201.5564,4119.836,663.4945,220.2272,669.7947,1734.827,336.8234,4150.2,FALSE
